regime,entry_lookback,exit_lookback,position_size_pct,don_final_eq,don_return_pct,don_apr_pct,don_dd_pct,don_sharpe,don_trades,trend_fast_apr_pct,trend_slow_apr_pct,best_trend_apr_pct,bh_apr_pct,don_vs_best_trend_pp,don_vs_bh_pp,runtime_s
bull,20,10,0.25,12924.990557698153,29.249905576981526,61.38527094383217,11.283501887388345,2.234862585699628,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2420.433114802614,-2521.757801060642,0.014
bull,20,10,0.5,16256.290187207465,62.56290187207465,147.5386778051516,18.96994051590257,2.3994088722216778,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2334.2797079412944,-2435.6043941993225,0.014
bull,20,10,1.0,24130.950484467365,141.30950484467365,417.2029421375898,28.76871375662689,2.6431745455216964,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2064.6154436088564,-2165.9401298668845,0.013
bull,20,12,0.25,15147.137214653556,51.471372146535565,116.96603848659493,15.822802388647931,2.7954160727856676,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2364.852347259851,-2466.177033517879,0.013
bull,20,12,0.5,20674.497508131426,106.74497508131427,287.63042813525976,22.603996062179597,3.0885065334810764,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2194.187957611186,-2295.512643869214,0.014
bull,20,12,1.0,32844.24376830071,228.44243768300709,819.2043914485273,28.768713756626894,3.403787552522117,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-1662.6139942979187,-1763.9386805559468,0.013
bull,20,20,0.25,16670.66540482791,66.70665404827909,159.43876096323982,15.822802388647931,3.1574020929198325,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2322.379624783206,-2423.704311041234,0.014
bull,20,20,0.5,24705.587906068286,147.05587906068286,440.4144817148662,22.603996062179597,3.5023739539199457,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2041.4039040315797,-2142.728590289608,0.014
bull,20,20,1.0,44868.204197786465,348.6820419778646,1544.8933940039758,28.768713756626894,3.8964716169810965,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-936.9249917424702,-1038.2496780004983,0.014
bull,28,10,0.25,12303.165016124465,23.03165016124464,47.20379087289479,11.283501887388345,1.893131342015132,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2434.614594873551,-2535.9392811315793,0.014
bull,28,10,0.5,14756.706579664842,47.56706579664842,106.65020544879025,18.96994051590257,2.0232841317996897,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2375.168180297656,-2476.492866555684,0.014
