vs,median_corr,mean_corr,max_corr,k3_fires
trend_fast,0.5913551876747264,0.5033490888512373,0.9426844295196992,False
trend_slow,0.7918234910404539,0.6331930784405038,1.0,False
buyhold,0.5975284316071655,0.5292145587247984,1.0,False
