variant,entry_lookback,exit_lookback,full_series_apr_pct,full_series_dd_pct,full_series_sharpe,full_series_trades,holdout_apr_pct,holdout_dd_pct,holdout_trades
20/10,20,10,26.82734476278896,37.522048891712515,0.9454671229780137,38,31.78191360717406,24.4981327844523,22
28/12,28,12,30.645476828967233,36.57876217782281,1.062488723024675,26,12.811936574811389,32.00933419332797,22
55/20,55,20,52.10134791425523,34.40887172331592,1.2798146496730383,47,-2.5782229665518464,37.122733456409094,16
