regime,top_entry,top_exit,top_size,don_apr_pct,don_dd_pct,best_trend_apr_pct,don_vs_trend_pp,don_vs_bh_pp,don_trades
bull,20,20,1.0,1544.8933940039758,28.768713756626894,2481.818385746446,-936.9249917424702,-1038.2496780004983,3
bear,55,12,0.25,-7.503739440980118,8.275054022813782,-49.81367788573415,42.30993844475403,67.8459422364137,6
crab,55,10,1.0,33.63978827695418,14.264217481735658,57.995780881566894,-24.355992604612716,-35.30603788374961,10
crash,20,12,1.0,0.32771011524630467,10.79388650525,143.05208863052007,-142.72437851527377,83.46198613951661,1
