regime,bot,final_eq,return_pct,apr_pct,max_dd_pct,sharpe,trades,pct_time_in_pos,halts
covid_2020,basis_arb,9996.61784160598,-0.033821583940207844,-0.2059999078971475,0.033821583940207345,-7.925452873800063,16,2.4356297842727903,0
covid_2020,funding,9690.912267902293,-3.09087732097707,-17.419306910910713,3.1482335731397115,-22.6514576065189,0,100.0,0
covid_2020,funding_smart,10009.694467080904,0.09694467080905156,0.5924396990702574,0.0,13.889429649203445,0,100.0,0
covid_2020,buyhold,10283.435408378187,2.834354083781876,18.575515746110295,56.19717541850701,0.847988608735431,1,100.0,0
luna_2021,basis_arb,10000.0,0.0,0.0,0.0,0.0,0,0.0,0
luna_2021,funding,9981.691903605315,-0.1830809639468467,-6.469799151660672,0.2615465089590813,-13.692122063696722,0,100.0,0
luna_2021,funding_smart,10008.200385664051,0.08200385664052234,3.0371216751598595,0.0,36.730536277011545,0,100.0,0
luna_2021,buyhold,7845.092250848005,-21.549077491519952,-99.98578231127333,36.25558525591075,-3.3667775827678055,1,100.0,0
ftx_2022,basis_arb,10000.0,0.0,0.0,0.0,0.0,0,0.0,0
ftx_2022,funding,9860.13488247005,-1.3986511752994923,-34.84663236328981,1.398651175299492,-66.09223821872152,0,100.0,0
ftx_2022,funding_smart,10000.05824961787,0.0005824961787137539,0.017719110149494455,0.0,10.698145720679078,0,100.0,0
ftx_2022,buyhold,7810.110314447724,-21.898896855522764,-99.94567635976807,26.74445850321009,-7.271181496526337,1,100.0,0
etf_2024,basis_arb,10000.0,0.0,0.0,0.0,0.0,0,0.0,0
etf_2024,funding,10000.0,0.0,0.0,0.0,0.0,0,100.0,0
etf_2024,funding_smart,10000.0,0.0,0.0,0.0,0.0,0,100.0,0
etf_2024,buyhold,10105.483479243152,1.0548347924315138,13.617354547369098,20.34239884838826,0.5209338517888601,1,100.0,0
calm_2023,basis_arb,9958.885351478348,-0.4111464852165181,-1.2351011020764746,0.4119389852165295,-6.722943992974859,33,5.578512396694215,0
calm_2023,funding,10060.68795594815,0.606879559481488,1.8418945594498748,0.05245892196261942,22.16843787294294,0,100.0,0
calm_2023,funding_smart,10067.603511219193,0.6760351121919195,2.0532114938285773,0.0,31.559296854718195,0,100.0,0
calm_2023,buyhold,9935.50807746986,-0.6449192253013991,-1.9327950803116445,21.005921831819975,0.1299674937548107,1,100.0,0
holdout,basis_arb,9823.036343923533,-1.7696365607646647,-1.0323742965336002,1.7696365607646658,-5.152270716651017,86,2.547770700636943,1
holdout,funding,10355.575894667301,3.5557589466730155,2.051509308273247,0.07954765924062734,24.538513471887477,0,100.0,0
holdout,funding_smart,10379.813035812205,3.7981303581220427,2.190263825289307,0.0,26.79527757460682,0,100.0,0
holdout,buyhold,13151.427820097382,31.514278200973834,17.259561363966824,50.225537683422786,0.5766247645464265,1,100.0,0
