regime,lookback_days,entry_z,exit_z,arb_final_eq,arb_return_pct,arb_apr_pct,arb_dd_pct,arb_sharpe,arb_trades,arb_opens,arb_halts,arb_halt_reason,arb_pct_in_pos,arb_funding,arb_convergence_pnl,funding_return_pct,funding_smart_return_pct,bh_return_pct,arb_vs_funding_pp,arb_vs_funding_smart_pp,arb_vs_bh_pp,runtime_s
covid_2020,7,1.0,0.0,9998.276894094748,-0.017231059052524866,-0.10499500407282758,0.061554868210332646,-0.8317665784646072,14,7,1,dislocation_guard,2.0876826722338206,0.010732252007728938,5.242939649766972,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1716789678355894,-0.11406514977759796,-2.7729888209451214,0.005
covid_2020,7,1.0,0.5,9996.575314095937,-0.03424685904063196,-0.20858790584324938,0.08215264850488893,-1.5845757040074113,20,10,1,dislocation_guard,1.5309672929714684,0.01041824910525271,5.117756574078504,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1541204557804514,-0.13106446983085496,-2.789535625891504,0.005
covid_2020,7,1.5,0.0,9999.919808428951,-0.0008019157104910413,-0.004888405072012159,0.04512572486830322,-0.038846346142915385,10,5,1,dislocation_guard,1.8093249826026443,0.011238745665260447,5.328609854720267,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1886321120678796,-0.09765191818890129,-2.757012503022571,0.005
covid_2020,7,1.5,0.5,9999.087662380125,-0.0091233761987497,-0.05560347878924565,0.05342451918852021,-0.4590949081434053,12,6,1,dislocation_guard,1.1134307585247043,0.010703190511014312,5.022283603641805,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1800452419588288,-0.10596531927784536,-2.7651046046965666,0.005
covid_2020,7,2.0,0.0,10000.27164671461,0.002716467146091084,0.01656082069805276,0.0416073420117209,0.13555334745165537,10,5,1,dislocation_guard,1.7397355601948505,0.010605612259440124,5.297094789532956,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1922627123244007,-0.09413694291353636,-2.753591094984431,0.005
covid_2020,7,2.0,0.5,9999.49382111597,-0.005061788840299286,-0.030852854356955284,0.04936293183007365,-0.25646433628354554,12,6,1,dislocation_guard,0.9742519137091163,0.009850033006406776,5.04240173626825,-3.09087732097707,0.09694467080905156,2.834354083781876,3.184236372005378,-0.1019076655983997,-2.761154964136625,0.005
covid_2020,14,1.0,0.0,10001.685326642468,0.016853266424687874,0.10278220342598843,0.02744787656509288,0.9351958058094001,12,6,1,dislocation_guard,1.0438413361169103,0.00947281953954488,4.627812125000038,-3.09087732097707,0.09694467080905156,2.834354083781876,3.2068503991053543,-0.08001383523519312,-2.7398439387888773,0.005
covid_2020,14,1.0,0.5,10001.50615458905,0.015061545890504568,0.09185093026591318,0.02923959709927658,0.8350369696456904,12,6,1,dislocation_guard,0.9046624913013221,0.00922397374533644,4.444062125000052,-3.09087732097707,0.09694467080905156,2.834354083781876,3.205001532368512,-0.08180382047408008,-2.7415862753359943,0.005
covid_2020,14,1.5,0.0,9986.19713416693,-0.1380286583306911,-0.8384735885867634,0.1380386583307154,-16.108629633789807,63,32,0,,12.734864300626306,0.0003472445467973559,1.1553921820546391,-3.09087732097707,0.09694467080905156,2.834354083781876,3.0470285779251594,-0.23474575563969813,-2.890456957303289,0.006
covid_2020,14,1.5,0.5,9982.212665343788,-0.1778733465621185,-1.0794193710575772,0.1778833465621392,-19.841077343351127,77,39,0,,8.350730688935283,0.0003472445467973559,0.48786766979530427,-3.09087732097707,0.09694467080905156,2.834354083781876,3.005913059458032,-0.2745518539801206,-2.9292034332124572,0.006
covid_2020,14,2.0,0.0,9994.151902884454,-0.05848097115546125,-0.3559711522605591,0.05848097115545897,-9.996645029432328,28,14,0,,6.1238691718858735,0.0,0.9203418074748697,-3.09087732097707,0.09694467080905156,2.834354083781876,3.129113406449213,-0.15527511101928182,-2.8131017894860944,0.005
covid_2020,14,2.0,0.5,9993.44090508538,-0.06559094914621033,-0.3991769674163259,0.065590949146208,-11.707797549453481,30,15,0,,3.6186499652052886,0.0,0.690949307474875,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1217766585825535,-0.1623782029409493,-2.820015799939213,0.005
covid_2020,30,1.0,0.0,9989.438853703112,-0.1056114629688798,-0.6420810081899653,0.10562146296888386,-13.795203199029844,41,21,0,,7.933194154488518,0.0,0.3208445235533785,-3.09087732097707,0.09694467080905156,2.834354083781876,3.080479706637962,-0.20235995658416384,-2.8589332552772073,0.005
covid_2020,30,1.0,0.5,9984.47615313555,-0.15523846864449187,-0.9426035692309043,0.15524846864449499,-18.03713687536647,57,29,0,,6.193458594293667,0.0,-0.5404310279383544,-3.09087732097707,0.09694467080905156,2.834354083781876,3.0292698676633867,-0.2519388981181203,-2.907192425199334,0.005
covid_2020,30,1.5,0.0,9993.355272984974,-0.06644727015026053,-0.40437959010987123,0.06645727015027661,-11.1388152863278,29,15,0,,4.871259568545581,0.0,0.7559224549565214,-3.09087732097707,0.09694467080905156,2.834354083781876,3.120893025565996,-0.16323369459142478,-2.8208485187438126,0.005
