date,close,iv,iv_rank,funding_rate
2023-05-25,26517.5,20.792709078174518,0.5,0.0
2023-05-26,26735.0,20.792709078174518,0.5,0.0
2023-05-27,27252.0,20.792709078174518,0.5,0.0
2023-05-28,27914.0,20.792709078174518,0.5,0.0
2023-05-29,27747.0,20.792709078174518,0.5,0.0
2023-05-30,27176.5,20.792709078174518,0.5,0.0
2023-05-31,26808.0,20.792709078174518,0.5,0.0
2023-06-01,27059.0,20.792709078174518,0.5,0.0
2023-06-02,27190.0,20.792709078174518,0.5,0.0
2023-06-03,27168.5,20.792709078174518,0.5,0.0
2023-06-04,26854.0,20.792709078174518,0.5,0.0
2023-06-05,25728.0,21.847572936118606,0.5,0.0
2023-06-06,26820.5,29.828479669915193,1.0,0.0
2023-06-07,26455.5,35.55052757668207,1.0,0.0
2023-06-08,26509.5,33.16371937868661,0.838268223841021,0.0
2023-06-09,25670.0,33.34549678438884,0.8505855867168836,0.0
2023-06-10,25769.5,35.13710356304981,0.9719861025751152,0.0
2023-06-11,25821.5,35.12894642704365,0.9714333693912108,0.0
2023-06-12,26091.0,34.60193180302028,0.9357224935543337,0.0
2023-06-13,25910.5,35.084296767243345,0.9684078775270291,0.0
2023-06-14,24933.0,35.05924367454069,0.9667102626183494,0.0
2023-06-15,25513.5,38.54189401638484,1.0,0.0
2023-06-16,26596.5,35.96732935973668,0.8549474431862134,0.0
2023-06-17,26602.5,35.96295351882212,0.8547009056167535,0.0
2023-06-18,26444.0,35.313324892009426,0.8181004290836493,0.0
2023-06-19,26841.5,35.434473880032705,0.8249260376084931,0.0
2023-06-20,28886.0,31.633916351136506,0.6108002880528397,0.0
2023-06-21,30101.0,45.569991579385245,1.0,0.0
2023-06-22,29936.5,47.3203696009508,1.0,0.0
2023-06-23,30596.5,48.33093251446027,1.0,0.0
2023-06-24,30767.0,47.154319342895896,0.9572734539580352,0.0
2023-06-25,30424.5,37.96133097156757,0.623446967561851,0.0
2023-06-26,30418.5,40.892209712638554,0.7298764454056945,0.0
2023-06-27,30203.0,39.53857683659615,0.6807217539574877,0.0
2023-06-28,30350.0,40.30270891655925,0.7084698068313793,0.0
2023-06-29,30764.5,39.35733786998722,0.6741403937971906,0.0
2023-06-30,30478.0,39.352709572317586,0.673972325668891,0.0
2023-07-01,30529.5,24.68078184148501,0.14118822052214786,0.0
2023-07-02,30688.0,15.797785763710609,0.0,0.0
2023-07-03,30926.0,15.437105750959601,0.0,0.0
