regime,tail_pct,spacing_pct,ma_days,final_equity,return_pct,apr_pct,max_dd_pct,sharpe,sortino,trades,stop_events,fast_stop_events,halted,end_state,tail_btc,days,runtime_s
bull,0.05,0.03,20,14877.471821739691,48.77471821739692,109.81611870336785,9.553247163642357,3.5728903090521196,4.280970084258849,228,5,44,False,COOLDOWN,0.09607534060387646,195.66666666666666,0.02
bull,0.05,0.03,30,15164.250662367427,51.642506623674265,117.42353415387683,10.24358335825525,3.52544440776089,4.166425082034344,276,3,51,False,COOLDOWN,0.10583393989245604,195.66666666666666,0.02
bull,0.05,0.03,45,17634.45382440873,76.34453824408732,188.1164004650773,12.638732104540443,3.8715663694793054,4.656358403279058,418,0,53,False,COOLDOWN,0.15789463534069714,195.66666666666666,0.03
bull,0.05,0.05,20,12288.914041090651,22.889140410906506,46.88588027777014,4.198703307339319,4.3475064269642605,5.053791974551978,106,1,44,False,COOLDOWN,0.036874604667891706,195.66666666666666,0.02
bull,0.05,0.05,30,12538.63054592663,25.3863054592663,52.50267266252895,4.376050749444324,4.438729121198731,5.158603630267235,126,1,51,False,COOLDOWN,0.041565063844433446,195.66666666666666,0.02
bull,0.05,0.05,45,14236.029587874451,42.3602958787445,93.25657825165281,5.884195021728562,4.924705778310105,5.7759877440010365,210,0,53,False,COOLDOWN,0.07012590714953774,195.66666666666666,0.02
bull,0.05,0.07,20,11674.968817919818,16.749688179198174,33.49346506682993,2.878238073880599,4.5184662120013535,5.226049880133185,60,0,44,False,COOLDOWN,0.02244038476701414,195.66666666666666,0.02
bull,0.05,0.07,30,12320.34709381895,23.203470938189486,47.5875124240021,3.490248279485681,4.718373248239098,5.392680517539751,86,0,51,False,COOLDOWN,0.03141189331504914,195.66666666666666,0.02
bull,0.05,0.07,45,14057.775980718068,40.57775980718068,88.76706790115658,4.815192217142487,5.5184999107040005,6.28168278913437,152,0,53,False,COOLDOWN,0.05515901934883793,195.66666666666666,0.02
bull,0.1,0.03,20,18590.947367495486,85.90947367495485,217.9506648398461,15.509238098633393,3.332616530194755,4.045530509099382,228,5,44,False,COOLDOWN,0.18693959015840553,195.66666666666666,0.02
bull,0.1,0.03,30,18991.95623426814,89.91956234268139,230.8634244906647,16.323180108275796,3.303896705918781,3.969971974740514,276,3,51,False,COOLDOWN,0.19279006507161145,195.66666666666666,0.02
bull,0.1,0.03,45,22456.877074052634,124.56877074052635,352.28606220204483,18.979055101930015,3.573783106177453,4.363298161437268,418,0,53,False,COOLDOWN,0.25615385677459235,195.66666666666666,0.02
bull,0.1,0.05,20,13561.151819916937,35.61151819916937,76.5177306681471,7.6928076661508955,3.5394985836206936,4.149956130309263,106,1,44,False,COOLDOWN,0.07374920933578341,195.66666666666666,0.02
bull,0.1,0.05,30,13922.53767999217,39.225376799921705,85.39362842015095,8.066111629185786,3.5956755845258237,4.221557105310683,126,1,51,False,COOLDOWN,0.08313012768886689,195.66666666666666,0.02
bull,0.1,0.05,45,16342.509742832954,63.425097428329536,149.99337961704785,10.744063057115122,3.910582044779382,4.627360645780499,210,0,53,False,COOLDOWN,0.1402518142990755,195.66666666666666,0.02
bull,0.1,0.07,20,12499.657995870193,24.996579958701926,51.61963828049683,5.418597786798622,3.601365944009316,4.087031886609348,60,0,44,False,COOLDOWN,0.04488076953402828,195.66666666666666,0.02
bull,0.1,0.07,30,13442.53873334459,34.42538733344591,73.64858273895956,6.728532808931825,3.7200318665968055,4.220438733514104,86,0,51,False,COOLDOWN,0.06282378663009829,195.66666666666666,0.02
bull,0.1,0.07,45,15819.589114181821,58.1958911418182,135.27846930981931,9.074920321204443,4.21506261163831,4.805009701545039,152,0,53,False,COOLDOWN,0.11031803869767585,195.66666666666666,0.02
bull,0.15,0.03,20,22065.16335065223,120.65163350652229,337.68058706320676,18.834342300356983,3.3407271379727406,4.09252959526561,228,5,44,False,COOLDOWN,0.25806247549692024,195.66666666666666,0.02
bull,0.15,0.03,30,22632.1485178366,126.32148517836596,358.89322099614714,19.706622690558213,3.301295757613347,4.007081343102291,276,3,51,False,COOLDOWN,0.27431539068265837,195.66666666666666,0.03
bull,0.15,0.03,45,26131.340949410907,161.31340949410907,500.04065624582097,21.055127840389908,3.5837311675469348,4.4117359364561,418,0,53,False,COOLDOWN,0.3308660707215243,195.66666666666666,0.03
bull,0.15,0.05,20,14833.389598743164,48.33389598743165,108.65789628464752,10.645945039133203,3.2842859761260743,3.8716678676459506,106,1,44,False,COOLDOWN,0.11062381400367513,195.66666666666666,0.02
bull,0.15,0.05,30,15306.444814057642,53.064448140576424,121.24210795299777,11.152489414071272,3.3299119223871165,3.931911960079487,126,1,51,False,COOLDOWN,0.12469519153330033,195.66666666666666,0.02
bull,0.15,0.05,45,18319.31089637678,83.19310896376781,209.33941888824515,14.605251271157229,3.5970422492178025,4.268764183355463,210,0,53,False,COOLDOWN,0.18827224766320705,195.66666666666666,0.02
bull,0.15,0.07,20,13324.347173820564,33.243471738205656,70.81134103235075,7.677276289728775,3.2695520058102816,3.712083371344017,60,0,44,False,COOLDOWN,0.0673211543010424,195.66666666666666,0.02
bull,0.15,0.07,30,14564.730372870228,45.64730372870227,101.66346565966138,9.518908283527866,3.3717409771567515,3.838049969093181,86,0,51,False,COOLDOWN,0.09423567994514742,195.66666666666666,0.02
bull,0.15,0.07,45,17581.402247645496,75.81402247645497,186.5016162772482,12.55719759299246,3.773271560399053,4.3295475400274,152,0,53,False,COOLDOWN,0.1654770580465136,195.66666666666666,0.02
bull,0.2,0.03,20,24380.644549012213,143.80644549012214,427.23084421918907,19.231079785698356,3.501095090297651,4.304885195418136,228,5,44,False,COOLDOWN,0.29105464102185263,195.66666666666666,0.02
bull,0.2,0.03,30,24736.68984746719,147.36689847467193,441.6842714185944,19.67611165952437,3.472895794878666,4.224633542727374,276,3,51,False,COOLDOWN,0.29978628025250864,195.66666666666666,0.02
bull,0.2,0.03,45,27783.455618363198,177.834556183632,572.7389957881685,20.103718733317404,3.7403753870894163,4.597586982901316,418,0,53,False,COOLDOWN,0.33741209954132706,195.66666666666666,0.03
bull,0.2,0.05,20,16105.627377569428,61.05627377569427,143.27624242086418,13.174719935710655,3.1757697040877444,3.7578687452339743,106,1,44,False,COOLDOWN,0.14749841867156682,195.66666666666666,0.02
bull,0.2,0.05,30,16690.351948123163,66.90351948123163,160.0105676930553,13.772123803528682,3.2169261824626743,3.813148160407545,126,1,51,False,COOLDOWN,0.16626025537773378,195.66666666666666,0.02
bull,0.2,0.05,45,20050.126762571028,100.5012676257103,266.0787589036337,17.289518234826698,3.5108523133405294,4.191665445409763,210,0,53,False,COOLDOWN,0.22080829271843633,195.66666666666666,0.02
bull,0.2,0.07,20,14149.03635177093,41.4903635177093,91.05944338843473,9.69866282703126,3.1104347435695447,3.5391744991503957,60,0,44,False,COOLDOWN,0.08976153906805656,195.66666666666666,0.02
bull,0.2,0.07,30,15686.922012395844,56.86922012395843,131.6111661429212,11.948293537352535,3.2081446423936613,3.6645615994646947,86,0,51,False,COOLDOWN,0.12564757326019657,195.66666666666666,0.02
bull,0.2,0.07,45,19172.067495732685,91.72067495732685,236.74066852446776,15.457066252669701,3.574360323371371,4.113653135909096,152,0,53,False,COOLDOWN,0.19516462064254864,195.66666666666666,0.02
bear,0.05,0.03,20,10064.924462792476,0.6492446279247721,0.6285142111358777,1.5523304391698192,0.362549112136359,0.3869282469976892,74,2,34,False,STOPPED,0.026829542458581872,377.0,0.04
bear,0.05,0.03,30,10095.785527468364,0.9578552746836388,0.9272256048318939,1.6933350067419342,0.49219604951824764,0.5093833693715267,78,2,33,False,STOPPED,0.03016860992960061,377.0,0.04
bear,0.05,0.03,45,10069.719521057623,0.6971952105762291,0.6749286015560463,1.182891512994428,0.512937862567026,0.5367391644881561,56,1,28,False,STOPPED,0.020861572684586126,377.0,0.04
bear,0.05,0.05,20,10180.454161526532,1.8045416152653093,1.746603951785941,1.0221833845468993,1.64568354914903,2.186435104586336,26,0,34,False,STOPPED,0.011342242840989551,377.0,0.04
bear,0.05,0.05,30,10225.466820854,2.2546682085400116,2.1821242894618953,1.3141617527571263,1.709184345569708,2.114219757504653,34,1,33,False,STOPPED,0.014689246525418649,377.0,0.04
bear,0.05,0.05,45,10178.751662387933,1.787516623879326,1.7301302067275204,1.0127256821102473,1.6492247702699334,2.2280692141558833,26,0,28,False,STOPPED,0.011234361980895141,377.0,0.04
bear,0.05,0.07,20,10325.37500196903,3.2537500196903046,3.1485690549386325,2.054046724413714,1.836860911762114,2.9942060880440855,34,0,34,False,STOPPED,0.011982378019837404,377.0,0.04
bear,0.05,0.07,30,10294.870878442858,2.9487087844285886,2.853524313207556,2.054046724413714,1.721743679034387,2.800146685408485,32,0,33,False,STOPPED,0.009429231385519706,377.0,0.04
bear,0.05,0.07,45,10177.369680547752,1.7736968054775204,1.7167577909706688,1.0330840703612691,1.5295715592513197,3.0491737546979594,18,0,28,False,STOPPED,0.005774645585070899,377.0,0.04
bear,0.1,0.03,20,9767.761852898686,-2.3223814710131463,-2.2492972846196113,3.7602905228930554,-0.6950831592702934,-0.7026031633069142,74,2,34,False,STOPPED,0.053659084917163744,377.0,0.04
