fold_start,fold_end,apr_pct,return_pct,max_dd_pct,sharpe,trades,stop_events,fast_stop_events,halted,end_state
2020-01-01,2020-07-01,33.08167483090263,15.270739387749677,11.662665419279804,1.336196314643869,150,0,33,False,STOPPED
2020-04-01,2020-10-01,51.599022499635,23.166497807961207,11.805257765431538,1.8908839746574568,140,1,30,False,COOLDOWN
2020-07-01,2021-01-01,168.0807792982526,64.28560140284026,6.445995841670417,4.715777231916208,138,0,38,False,RUNNING
2020-10-01,2021-04-01,449.76954235194444,133.561054702106,19.67611165952437,3.44646121032831,254,1,49,False,COOLDOWN
2021-01-01,2021-07-01,5.822946320247757,2.841705434734787,25.652926022073174,0.34010490954515843,171,3,27,True,HALTED_DRAWDOWN
2021-04-01,2021-10-01,7.017462782276063,3.4500458677424906,10.752031880873092,0.5265473450815752,108,2,23,False,STOPPED
2021-07-01,2022-01-01,8.437953213335936,4.162438818030134,24.34643464908252,0.4149319838376465,166,1,26,False,STOPPED
2021-10-01,2022-04-01,-3.2116104435732984,-1.6145101932495742,19.646684183491264,-0.09484671589625161,100,0,18,False,COOLDOWN
2022-01-01,2022-07-01,-7.6566052549481345,-3.873067042540823,6.164533388629563,-2.2121872540289895,20,0,12,False,STOPPED
2022-04-01,2022-10-01,-3.2231855313607505,-1.6292075454369503,5.035881370604051,-0.5668864056504015,48,2,15,False,STOPPED
2022-07-01,2023-01-01,-6.098127479495197,-3.1220748742411875,7.143395710148264,-0.7851147377549075,56,2,22,False,STOPPED
2022-10-01,2023-04-01,14.0404870127671,6.76892128723332,2.792518285783148,2.728228650808461,41,0,30,False,RUNNING
2023-01-01,2023-07-01,15.638422313875399,7.469332522797023,4.161083366691801,2.096686845968015,62,0,30,False,COOLDOWN
2023-04-01,2023-10-01,1.617316149621928,0.8076301134895658,4.17153763124468,0.35955678550131354,46,0,20,False,RUNNING
2023-07-01,2024-01-01,24.338969056601158,11.607255339508683,2.677399102302203,3.411416213930381,82,0,35,False,STOPPED
2023-10-01,2024-04-01,106.32578811081777,43.783036661064465,9.973678602107158,3.7223469238526787,152,0,45,False,RUNNING
2024-01-01,2024-07-01,17.994746604505064,8.600767366149453,8.446062468887474,1.1574972338254117,114,0,30,False,STOPPED
HOLDOUT 2024-09-01,2026-05-22,6.081415605292362,10.691342872124942,25.152334506057784,0.3885185522910243,189,0,60,True,HALTED_DRAWDOWN
