regime,bot,apr_pct,return_pct,max_dd_pct,sharpe,sortino,trades,halted
bull,infinity,441.6842714185944,147.36689847467193,19.67611165952437,3.472895794878666,4.224633542727374,276,False
bull,balanced,74.2447201102302,34.672579657958245,1.1035054851702522,13.217237123439501,10.227708909694414,351,False
bull,buyhold,2583.143072004474,483.2536552633188,28.768713756626884,4.297744942591274,5.737203082184236,1,False
bear,infinity,-8.427617475379046,-8.692288759439304,10.551291270323752,-1.1959417904207597,-1.1717068143503981,78,False
bear,balanced,23.16706438191536,24.01372568522657,0.39903113896528714,8.968225803526224,8.424010229877172,248,False
bear,buyhold,-75.34968167739382,-76.45885099322625,77.19848663243954,-1.7794652354350664,-2.316280810708253,1,False
crab,infinity,5.183258531038204,4.51490739755378,7.219571684396415,0.6744822096722094,0.7082650126308303,80,False
crab,balanced,23.180390877088563,19.983222682239376,0.2388557337676458,9.314590450008232,14.128464098082164,186,False
crab,buyhold,68.94582616070379,58.1317393242452,21.740843715487802,1.4771042187195547,1.7958581680937364,1,False
crash,infinity,7.688828002280612,0.9165911549408046,0.49977485736007343,3.7635868889678736,1.8146035887401768,21,False
crash,balanced,27.752356456418028,3.062775478844326,0.7298237286552642,7.093767063841515,5.853451417380296,42,False
crash,buyhold,-83.1342760242703,-19.68669712480622,54.86083336065304,-0.3963255078608891,-0.42395121617185305,1,False
