regime,bot,final_eq,return_pct,apr_pct,max_dd_pct,sharpe,rebalances,trade_cost_paid,avg_abs_position,halt_fired,n_bars
vol_2021_ramp,funding_dynamic,9898.760520280824,-1.0123947971917513,-11.305301793057666,1.0514417229416178,-12.146803575083501,85,240.57415533195424,0.37574467464552563,False,743
vol_2021_ramp,funding,10273.63258529466,2.736325852946586,37.47596840041585,0.004056327461193128,70.99323834695447,0,0.0,1.0,False,743
vol_2021_ramp,funding_smart,10274.437691298059,2.744376912980595,37.60304182594933,0.0,71.34181430054504,0,0.0,1.0,False,743
vol_luna_2022,funding_dynamic,9935.602649202348,-0.6439735079765141,-7.334157865523306,0.643973507976516,-19.510432970792902,42,73.84340903930382,0.1219436925914604,False,743
vol_luna_2022,funding,10020.553499886995,0.20553499886994953,2.4503177421249855,0.017809978046027727,36.25794626654446,0,0.0,1.0,False,743
vol_luna_2022,funding_smart,10022.504387521001,0.22504387521000702,2.6857279863566896,0.0,42.79537613997312,0,0.0,1.0,False,743
vol_etf_2024,funding_dynamic,9921.720489075748,-0.7827951092425289,-8.849206893076955,0.9520444629480154,-11.395376306003284,85,200.12497471293753,0.4068812660827037,False,743
vol_etf_2024,funding,10197.890524611837,1.9789052461183676,25.990359923644178,0.0013412120111632368,99.95049779756931,0,0.0,1.0,False,743
vol_etf_2024,funding_smart,10198.1784375206,1.9817843752059972,26.03230389533111,0.0,100.2793598969682,0,0.0,1.0,False,743
steady_2023,funding_dynamic,9924.193361644362,-0.7580663835563772,-8.58099715155658,0.7580663835563791,-19.736610628749098,54,94.68247188240517,0.18245911260329276,False,743
steady_2023,funding,10033.148700818627,0.33148700818625976,3.9789010736146713,0.0028154667698962977,49.28067510377405,0,0.0,1.0,False,743
steady_2023,funding_smart,10033.558987746681,0.335589877466802,4.029043663644516,0.0,50.27855154566623,0,0.0,1.0,False,743
