ts,rolling_corr_30d
2019-08-28,0.3738827747706366
2019-08-28,0.37384816484027783
2019-08-28,0.37376336770552016
2019-08-28,0.3742705641194305
2019-08-28,0.3743673414881214
2019-08-28,0.37434437190893854
2019-08-28,0.374233625733037
2019-08-28,0.3741292338799993
2019-08-28,0.3741186069473373
2019-08-28,0.3740545534150419
2019-08-28,0.3836833212457688
2019-08-28,0.38363732261722977
2019-08-28,0.3836214443251732
2019-08-28,0.3837075972367584
2019-08-28,0.3836720767681455
2019-08-29,0.3836119051212356
2019-08-29,0.3833174752970937
2019-08-29,0.3825492003756366
2019-08-29,0.3825694196980762
2019-08-29,0.38261413995981086
2019-08-29,0.3823716272997833
2019-08-29,0.3824524120012848
2019-08-29,0.3825259412968108
2019-08-29,0.38259716638248675
2019-08-29,0.3826230157489177
2019-08-29,0.38263985565070396
2019-08-29,0.3827192058180238
2019-08-29,0.3921259622725412
2019-08-29,0.3920295444057184
2019-08-29,0.39193634249938136
2019-08-29,0.39183208231586714
2019-08-29,0.3917264662791924
2019-08-29,0.3916688272194496
2019-08-29,0.39159626785324664
2019-08-29,0.39153069333568385
2019-08-29,0.39144921226881946
2019-08-29,0.39137607600109775
2019-08-29,0.3912771497528639
2019-08-29,0.39120365228663295
2019-08-30,0.3911230102028506
2019-08-30,0.3916766920063321
2019-08-30,0.3917049405260122
2019-08-30,0.39248768016139973
2019-08-30,0.3924297813965855
2019-08-30,0.3923193787901629
2019-08-30,0.3930703239814424
2019-08-30,0.39300665704904875
2019-08-30,0.39302807743766116
2019-08-30,0.39390738399280956
2019-08-30,0.3988761932014212
2019-08-30,0.40145330567266213
2019-08-30,0.40148066244989067
2019-08-30,0.40165370516428867
2019-08-30,0.40176192163084146
2019-08-30,0.401822429271103
2019-08-30,0.4025032574010966
2019-08-30,0.4025652431527455
2019-08-30,0.4021827393889409
2019-08-30,0.4020323328763663
2019-08-30,0.4027921226135902
2019-08-30,0.40278883796149995
2019-08-30,0.4036640338439961
2019-08-30,0.4033052601335529
2019-08-31,0.4026676732313989
2019-08-31,0.4024143380648335
2019-08-31,0.4023692697333775
2019-08-31,0.4026370568322899
2019-08-31,0.4031789911763471
2019-08-31,0.4033036787978661
2019-08-31,0.4039509432298226
2019-08-31,0.40400353769274344
2019-08-31,0.40597121050158363
2019-08-31,0.4061361261653748
2019-08-31,0.40601403160500815
2019-08-31,0.4067585292866654
2019-08-31,0.40662984173067634
2019-08-31,0.4072889891309691
2019-08-31,0.4072827583411456
2019-08-31,0.40733178593684954
2019-08-31,0.4072655218394954
2019-08-31,0.4071704690453885
2019-08-31,0.4070926555826857
2019-08-31,0.4070067478656897
2019-08-31,0.40688880195587585
2019-08-31,0.40715229996597285
2019-08-31,0.4076809051948953
2019-08-31,0.4075586084926258
2019-09-01,0.40755860849262565
2019-09-01,0.40755860849262576
2019-09-01,0.40755860849262576
2019-09-01,0.40755860849262554
2019-09-01,0.40837110508430047
2019-09-01,0.4083719109022357
2019-09-01,0.4083733138365326
2019-09-01,0.4091540329087792
2019-09-01,0.4091503998995559
2019-09-01,0.40917039564890506
2019-09-01,0.4091704021975923
2019-09-01,0.4091762404794832
2019-09-01,0.4091788170159569
2019-09-01,0.4091797324392297
2019-09-01,0.4099554691791957
2019-09-01,0.4099554691791958
2019-09-01,0.40995958345075695
2019-09-01,0.4106192319056634
2019-09-01,0.41061923190566346
2019-09-01,0.41061923190566346
2019-09-01,0.4106192319056633
2019-09-01,0.4106192319056633
2019-09-01,0.4106192319056633
2019-09-01,0.4106192319056633
2019-09-02,0.4106192319056633
2019-09-02,0.41061923190566324
2019-09-02,0.4106192319056633
2019-09-02,0.41061896356717986
2019-09-02,0.41061896356718
2019-09-02,0.41061896356718
2019-09-02,0.41061896356718003
2019-09-02,0.41061896356718003
2019-09-02,0.41061876410434
2019-09-02,0.4106187641043401
2019-09-02,0.41062015305916694
2019-09-02,0.41061902635783365
2019-09-02,0.41061882303218306
2019-09-02,0.4106188230321832
2019-09-02,0.41061882303218306
2019-09-02,0.41061882303218317
2019-09-02,0.41061882303218317
2019-09-02,0.40983229631078977
2019-09-02,0.40983518091214016
2019-09-02,0.4106137070639904
2019-09-02,0.410619807343465
2019-09-02,0.4091703948027163
2019-09-02,0.409134178471856
2019-09-02,0.4091015023011101
2019-09-03,0.40907832316967996
2019-09-03,0.40904604078303736
2019-09-03,0.40902912567497385
2019-09-03,0.40901158770405843
2019-09-03,0.408982071451408
2019-09-03,0.4089483314786834
2019-09-03,0.40812344938230294
2019-09-03,0.40809935542794024
2019-09-03,0.40808675650608484
2019-09-03,0.4081311420001536
2019-09-03,0.40810161864430056
2019-09-03,0.4082615998015817
2019-09-03,0.40823994042761524
2019-09-03,0.40820358587131905
2019-09-03,0.40817052257252456
2019-09-03,0.4081340555079102
2019-09-03,0.40810755411263827
2019-09-03,0.40807107264097475
2019-09-03,0.4080357359190727
2019-09-03,0.40799999941982906
2019-09-03,0.4080284831248394
2019-09-03,0.4079939174185339
2019-09-03,0.4079746113352358
2019-09-03,0.4079659820327931
2019-09-04,0.40793027446642227
2019-09-04,0.4078903863726338
2019-09-04,0.40789544456681426
2019-09-04,0.40728422942821363
2019-09-04,0.4073791388749219
2019-09-04,0.40745328149310206
2019-09-04,0.4075021747173372
2019-09-04,0.40737813512467835
2019-09-04,0.404848614190971
2019-09-04,0.4051179300100541
2019-09-04,0.4057613958621569
2019-09-04,0.4058753015076878
2019-09-04,0.40629266952219617
2019-09-04,0.4064122003610541
2019-09-04,0.40576843201876983
2019-09-04,0.4058870279400341
2019-09-04,0.40596891123433493
2019-09-04,0.4052960156820292
2019-09-04,0.4053499154152297
2019-09-04,0.40548453143677116
2019-09-04,0.40445780823921573
2019-09-04,0.4044943080632293
2019-09-04,0.404662499870343
2019-09-04,0.4037844049652722
2019-09-05,0.40385027454597305
2019-09-05,0.40392775070963594
2019-09-05,0.4039946433780468
2019-09-05,0.4032364797195164
2019-09-05,0.4033346265904877
2019-09-05,0.40338340673506506
2019-09-05,0.40346261768562425
2019-09-05,0.403604718571492
2019-09-05,0.4036601356851791
2019-09-05,0.40370748776890114
2019-09-05,0.40376903836110806
2019-09-05,0.4038997575620748
2019-09-05,0.4039998120178791
2019-09-05,0.40410635047044785
2019-09-05,0.40413056038106054
2019-09-05,0.40415084301920584
2019-09-05,0.40424967635087244
2019-09-05,0.40436577580937855
2019-09-05,0.40448099271176485
2019-09-05,0.40457643817266153
2019-09-05,0.40464988947371705
2019-09-05,0.40471354067440507
2019-09-05,0.4048218865384105
2019-09-05,0.40491743819442283
2019-09-06,0.40498387146805137
2019-09-06,0.40499302634597495
2019-09-06,0.4050071801788454
2019-09-06,0.4050877255628214
2019-09-06,0.4052286322726311
2019-09-06,0.39520189231701947
2019-09-06,0.3954537316819071
2019-09-06,0.395519552313411
2019-09-06,0.3954942796438127
2019-09-06,0.3954579686290115
2019-09-06,0.39541684359085627
2019-09-06,0.3953771629068049
2019-09-06,0.3954080520501451
2019-09-06,0.39545064194166607
2019-09-06,0.39542285653935905
2019-09-06,0.3953750056497867
2019-09-06,0.3953320678980814
2019-09-06,0.39529669997587646
2019-09-06,0.3952715155489644
2019-09-06,0.3952613360205044
2019-09-06,0.3955840313868971
2019-09-06,0.3964818477667334
2019-09-06,0.3971847654961223
2019-09-06,0.3971847654961223
2019-09-07,0.3972000178500456
2019-09-07,0.39724449365030107
2019-09-07,0.39724449365030107
2019-09-07,0.39724696943685955
2019-09-07,0.39724696943685955
2019-09-07,0.3972857133382988
2019-09-07,0.39730407472156365
2019-09-07,0.39731026846842876
2019-09-07,0.3973143542193825
2019-09-07,0.39732208881952297
2019-09-07,0.3973332046260219
2019-09-07,0.39733331878173833
2019-09-07,0.3973376820507536
2019-09-07,0.3973351061162626
2019-09-07,0.3964948793597797
2019-09-07,0.3956398790438003
2019-09-07,0.3947455352144967
2019-09-07,0.39390363562946923
2019-09-07,0.393937951440127
2019-09-07,0.3939772123824837
2019-09-07,0.39399080628160726
2019-09-07,0.39399147513142846
2019-09-07,0.39400381840842835
2019-09-07,0.39400396055602444
2019-09-08,0.39403900685368015
2019-09-08,0.3948647101298726
2019-09-08,0.3948895633512539
2019-09-08,0.3949217145354228
2019-09-08,0.39522391272887986
2019-09-08,0.39522565337679916
2019-09-08,0.3952294323308554
2019-09-08,0.3943605614203294
2019-09-08,0.3943250953596345
2019-09-08,0.394287295510467
2019-09-08,0.3942609370084335
2019-09-08,0.39422306886579794
2019-09-08,0.3941857598771885
2019-09-08,0.3931397622338007
2019-09-08,0.39316260619050897
2019-09-08,0.3921767683212819
2019-09-08,0.3914924198244097
2019-09-08,0.39146580428714556
2019-09-08,0.3914241354922468
2019-09-08,0.3915247595302972
2019-09-08,0.3915024670662323
2019-09-08,0.3915372485918588
2019-09-08,0.3916346735267294
2019-09-08,0.3915953851948968
2019-09-09,0.39156792682156377
2019-09-09,0.39152522166254633
2019-09-09,0.3914813688222927
2019-09-09,0.39148521530578034
2019-09-09,0.39150754717603714
2019-09-09,0.3915749437937429
2019-09-09,0.3916202177620996
2019-09-09,0.3916565706138841
2019-09-09,0.39161140324687504
2019-09-09,0.39159253816777106
2019-09-09,0.39155342180841135
2019-09-09,0.39153330058379526
2019-09-09,0.39148375137534713
2019-09-09,0.3914477166463794
2019-09-09,0.3902955352899192
2019-09-09,0.3903225703451751
2019-09-09,0.38963421798778175
2019-09-09,0.39023248955148104
2019-09-09,0.3903107001382547
2019-09-09,0.39036141645669875
2019-09-09,0.39040983423389725
2019-09-09,0.390415340544947
2019-09-09,0.3904226048730245
2019-09-09,0.3905034454642727
2019-09-10,0.39052484101521523
2019-09-10,0.3905470064525915
2019-09-10,0.39058163038796206
2019-09-10,0.3906577038163485
2019-09-10,0.39076494075141655
2019-09-10,0.3908282250203519
2019-09-10,0.3909048902301793
2019-09-10,0.39100613809102813
2019-09-10,0.39111453321044554
2019-09-10,0.39111877120834776
2019-09-10,0.3911851697133352
2019-09-10,0.3912193417348771
2019-09-10,0.3904941448234303
2019-09-10,0.3905494691910563
2019-09-10,0.39060632423225
2019-09-10,0.3906520530389183
2019-09-10,0.39074195827624825
2019-09-10,0.39089262391107954
