regime,trade_cost_bps,dyn_apr,dyn_return,dyn_dd,dyn_rebalances,dyn_trade_cost,funding_apr,smart_apr,best_cousin_apr,dyn_minus_best_apr
vol_2021_ramp,3.0,2.2689410402328525,0.19047597946788564,0.24195729795835888,85,120.28707766597712,37.47596840041585,37.60304182594933,37.60304182594933,-35.33410078571648
vol_2021_ramp,6.0,-11.305301793057666,-1.0123947971917513,1.0514417229416178,85,240.57415533195424,37.47596840041585,37.60304182594933,37.60304182594933,-48.908343619007
vol_2021_ramp,12.0,-33.63817913682637,-3.4181363505113582,3.4271832762612213,85,481.1483106639085,37.47596840041585,37.60304182594933,37.60304182594933,-71.24122096277571
vol_luna_2022,3.0,-3.191799728710576,-0.2747564627799681,0.2747564627799693,42,36.92170451965191,2.4503177421249855,2.6857279863566896,2.6857279863566896,-5.877527715067266
vol_luna_2022,6.0,-7.334157865523306,-0.6439735079765141,0.643973507976516,42,73.84340903930382,2.4503177421249855,2.6857279863566896,2.6857279863566896,-10.019885851879994
vol_luna_2022,12.0,-15.136276894041245,-1.3824075983695505,1.3824075983695547,42,147.68681807860764,2.4503177421249855,2.6857279863566896,2.6857279863566896,-17.822004880397934
vol_etf_2024,3.0,2.5986189328089715,0.21782976432216383,0.16621166043381613,85,100.06248735646876,25.990359923644178,26.03230389533111,26.03230389533111,-23.43368496252214
vol_etf_2024,6.0,-8.849206893076955,-0.7827951092425289,0.9520444629480154,85,200.12497471293753,25.990359923644178,26.03230389533111,26.03230389533111,-34.881510788408065
vol_etf_2024,12.0,-28.315511711948403,-2.784044856371859,2.893294210077347,85,400.24994942587506,25.990359923644178,26.03230389533111,26.03230389533111,-54.347815607279514
steady_2023,3.0,-3.3050183880139694,-0.2846540241444595,0.2904993770085821,54,47.341235941202584,3.9789010736146713,4.029043663644516,4.029043663644516,-7.334062051658485
steady_2023,6.0,-8.58099715155658,-0.7580663835563772,0.7580663835563791,54,94.68247188240517,3.9789010736146713,4.029043663644516,4.029043663644516,-12.610040815201096
steady_2023,12.0,-18.35099520528939,-1.704891102380457,1.7048911023804612,54,189.36494376481033,3.9789010736146713,4.029043663644516,4.029043663644516,-22.380038868933905
