regime,slope_threshold,size_increment_step,slope_lookback_hours,trade_cost_bps,dyn_apr,dyn_return,dyn_dd,dyn_sharpe,dyn_rebalances,dyn_trade_cost,dyn_avg_pos,dyn_halt,funding_apr,smart_apr,best_cousin_apr,dyn_minus_best_apr,dyn_minus_smart_apr
vol_2021_ramp,1e-07,0.05,16,6.0,-33.604879688994394,-3.4140267526377666,3.4500868364787176,-27.349202920347718,114,452.1326680951603,0.3370110268648313,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.20792151494373,-71.20792151494373
vol_2021_ramp,1e-07,0.05,24,6.0,-21.92174183441753,-2.077004760201384,2.102611663364205,-19.388875592617932,85,323.6971331238028,0.34881329571647673,False,37.47596840041585,37.60304182594933,37.60304182594933,-59.524783660366865,-59.524783660366865
vol_2021_ramp,1e-07,0.05,32,6.0,-19.24073740074894,-1.7961983438065543,1.8253789996501835,-17.248452276748615,86,300.97816398185523,0.34884668544837955,False,37.47596840041585,37.60304182594933,37.60304182594933,-56.843779226698274,-56.843779226698274
vol_2021_ramp,1e-07,0.1,16,6.0,-33.60396501738532,-3.413913896530263,3.449973993117824,-27.30113722225638,113,452.1326680951603,0.3371364198801686,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.20700684333465,-71.20700684333465
vol_2021_ramp,1e-07,0.1,24,6.0,-21.92174183441753,-2.077004760201384,2.102611663364205,-19.388875592617932,85,323.6971331238028,0.34881329571647673,False,37.47596840041585,37.60304182594933,37.60304182594933,-59.524783660366865,-59.524783660366865
vol_2021_ramp,1e-07,0.1,32,6.0,-19.14917539970248,-1.7867596753590953,1.815940331202728,-17.123398324732943,80,300.014930425279,0.3485637740229093,False,37.47596840041585,37.60304182594933,37.60304182594933,-56.75221722565181,-56.75221722565181
vol_2021_ramp,1e-07,0.2,16,6.0,-33.60924381882955,-3.414565237291789,3.4506252603132546,-27.132385285593198,109,452.1326680951603,0.33755177728604335,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.21228564477889,-71.21228564477889
vol_2021_ramp,1e-07,0.2,24,6.0,-21.78584517275294,-2.0625602632038498,2.0881671663666745,-19.201202487421757,82,322.2068419674826,0.34882339666373346,False,37.47596840041585,37.60304182594933,37.60304182594933,-59.388886998702276,-59.388886998702276
vol_2021_ramp,1e-07,0.2,32,6.0,-18.969820123257573,-1.7682991523668479,1.7974798082104826,-16.880212631893798,77,297.61980607602334,0.34720621314030814,False,37.47596840041585,37.60304182594933,37.60304182594933,-56.57286194920691,-56.57286194920691
vol_2021_ramp,2e-07,0.05,16,6.0,-33.79970260846862,-3.438097328791323,3.474154693965877,-27.099067537555033,125,472.5109682704315,0.36746909528199456,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.40274443441795,-71.40274443441795
vol_2021_ramp,2e-07,0.05,24,6.0,-22.864176799435143,-2.1778142361177033,2.206994891961331,-19.718682778124823,97,344.8478618409624,0.3728457806527167,False,37.47596840041585,37.60304182594933,37.60304182594933,-60.467218625384476,-60.467218625384476
vol_2021_ramp,2e-07,0.05,32,6.0,-15.899351917250925,-1.4579303502361252,1.4860115671593344,-15.335342989723882,93,274.713942166635,0.37496337352959724,False,37.47596840041585,37.60304182594933,37.60304182594933,-53.50239374320026,-53.50239374320026
vol_2021_ramp,2e-07,0.1,16,6.0,-33.6981339669799,-3.4255403397919104,3.4615991232235097,-26.98427505998382,121,471.2040832356972,0.3673894405587468,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.30117579292923,-71.30117579292923
vol_2021_ramp,2e-07,0.1,24,6.0,-22.758889758574185,-2.1664962341306104,2.1956768899742385,-19.622558137968415,93,343.2416157688501,0.3703570070352558,False,37.47596840041585,37.60304182594933,37.60304182594933,-60.36193158452352,-60.36193158452352
vol_2021_ramp,2e-07,0.1,32,6.0,-15.811136814540006,-1.4491675759274236,1.4775327997666017,-15.233885606600694,88,272.6696152005168,0.3717409022982578,False,37.47596840041585,37.60304182594933,37.60304182594933,-53.41417864048934,-53.41417864048934
vol_2021_ramp,2e-07,0.2,16,6.0,-33.26768409387587,-3.372518225777932,3.4085829978256115,-26.57770732984348,116,465.3819889174358,0.3656541775572765,False,37.47596840041585,37.60304182594933,37.60304182594933,-70.8707259198252,-70.8707259198252
vol_2021_ramp,2e-07,0.2,24,6.0,-22.445209485766114,-2.1328601598395114,2.16204081568314,-19.09220588169947,84,339.69033370636396,0.36828993262744536,False,37.47596840041585,37.60304182594933,37.60304182594933,-60.04825131171545,-60.04825131171545
vol_2021_ramp,2e-07,0.2,32,6.0,-15.647843215073909,-1.432969091978864,1.4613346397234346,-14.854798662656062,79,271.6276880771527,0.3729501167251002,False,37.47596840041585,37.60304182594933,37.60304182594933,-53.25088504102324,-53.25088504102324
vol_2021_ramp,4e-07,0.05,16,6.0,-33.54840526487739,-3.4070613626042134,3.4469337737162618,-27.875873966572314,152,475.5042956047766,0.3627875155126934,False,37.47596840041585,37.60304182594933,37.60304182594933,-71.15144709082672,-71.15144709082672
vol_2021_ramp,4e-07,0.05,24,6.0,-19.992966608594863,-1.8741147682416193,1.9067596071481945,-18.5950176072713,121,326.1070463035477,0.379493377237821,False,37.47596840041585,37.60304182594933,37.60304182594933,-57.596008434544196,-57.596008434544196
vol_2021_ramp,4e-07,0.05,32,6.0,-12.654519289256505,-1.141009877823651,1.180056803573516,-14.040616352770591,124,254.53057260355962,0.3781681180115546,False,37.47596840041585,37.60304182594933,37.60304182594933,-50.25756111520584,-50.25756111520584
vol_2021_ramp,4e-07,0.1,16,6.0,-33.32664719164396,-3.3797626707902206,3.4191781913568935,-27.637209103098638,143,472.00386493563184,0.36247923778382446,False,37.47596840041585,37.60304182594933,37.60304182594933,-70.92968901759329,-70.92968901759329
vol_2021_ramp,4e-07,0.1,24,6.0,-19.396826432461634,-1.812311382584253,1.8449601588549123,-17.935707933678394,105,319.4397081597047,0.37702576140386207,False,37.47596840041585,37.60304182594933,37.60304182594933,-56.99986825841097,-56.99986825841097
vol_2021_ramp,4e-07,0.1,32,6.0,-12.420542612054374,-1.118576160464746,1.1576230862146077,-13.68639855747543,109,251.5147574674071,0.3758776090295872,False,37.47596840041585,37.60304182594933,37.60304182594933,-50.02358443800371,-50.02358443800371
vol_2021_ramp,4e-07,0.2,16,6.0,-32.54853601823747,-3.284629076827583,3.324054440097287,-26.69701433365518,128,462.5643834219512,0.36210078267930995,False,37.47596840041585,37.60304182594933,37.60304182594933,-70.1515778441868,-70.1515778441868
