regime,bot,final_eq,return_pct,apr_pct,max_dd_pct,sharpe,trades,btc_held,cost_basis_usd,days
bull,dca_smart,47551.303607163754,375.51303607163754,1733.118578558106,28.768713756626894,3.9382558889734764,61,0.7552677665662967,13232.393122555874,195.66666666666666
bull,dca,54009.75587591526,440.09755875915266,2224.697220239048,28.768713756626894,4.160020634386123,30,0.8578487780311458,11650.07196599067,195.66666666666666
bull,buyhold,58325.36552633189,483.2536552633188,2583.143072004474,28.768713756626884,4.297744942591274,1,0.926394551012879,10788.06,195.66666666666666
bear,dca_smart,2879.212697660947,-71.20787302339053,-70.04390531750188,71.47277387936346,-1.5648050457690126,38,0.18244469860581403,54778.24281204693,377.0
bear,dca,2745.5080933617255,-72.54491906638275,-71.39173626277903,72.82601040353894,-1.6125561100888903,30,0.1739723491147888,57445.91051883686,377.0
bear,buyhold,2354.114900677375,-76.45885099322625,-75.34968167739382,77.19848663243954,-1.7794652354350664,1,0.14917125917319654,66996.82,377.0
crab,dca_smart,15832.880872451102,58.32880872451103,69.18678650386138,21.740843715487824,1.50331707537523,49,0.5830740742188985,17140.189286221015,318.9583333333333
crab,dca,15987.364057923865,59.87364057923865,71.07717693045015,21.74084371548782,1.5215949648530693,30,0.5887631930266226,16974.56654622786,318.9583333333333
crab,buyhold,15813.173932424519,58.1317393242452,68.94582616070379,21.740843715487802,1.4771042187195547,1,0.5823483310073974,17161.55,318.9583333333333
crash,dca_smart,10206.402389393523,2.0640238939352296,18.041316385448212,19.297401127592504,0.5838921155059092,43,1.4859292718263315,6725.757537380319,44.958333333333336
crash,dca,10361.848374991478,3.6184837499147804,33.453250817144564,21.204220578492734,0.7610410629787903,30,1.508560335287824,6624.859321979462,44.958333333333336
crash,buyhold,8031.330287519378,-19.68669712480622,-83.1342760242703,54.86083336065304,-0.3963255078608891,1,1.1692649682646465,8547.25,44.958333333333336
holdout,dca_smart,12971.908494261748,29.719084942617478,16.32659194278294,50.08379415223316,0.5619379629697756,44,0.1671303431873129,59797.639431632895,628.0
holdout,dca,12939.15112602536,29.391511260253587,16.155768602523125,50.08379415223316,0.5580189168414675,30,0.16670829656266373,59949.02596970257,628.0
holdout,buyhold,13162.896773799423,31.628967737994216,17.31898416236184,50.08379415223316,0.5788279970412666,1,0.16959104021720683,58930.0,628.0
