fold_start,fold_end,smart_apr,smart_return,smart_dd,smart_sharpe,smart_trades,smart_2x_buys,smart_cb,dca_return,dca_cb,bh_return,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct
2019-01-31,2019-07-31,589.8040279682125,159.64748830945416,34.40887172331592,3.03645627031671,38,4,3685.175441634186,161.03057370282005,3665.649329221326,174.89981854276851,-0.5298557076078514,-5.5483231361032725,-0.5326781330992171
2019-03-31,2019-09-30,140.43651067311168,54.96700838880155,43.26956412115101,1.5435279238807729,40,0,5187.551719286415,59.149669695305505,5051.2160806810225,96.23527033327555,-2.6281306863606635,-21.029992148906864,-2.699065659194917
2019-05-31,2019-11-30,-32.95775571559151,-18.12067154378433,51.011084652823705,-0.2184476044746118,40,1,9446.873023801423,-14.08235478808406,9002.849383175635,-6.911545417566267,-4.70021815162619,-12.04137094820057,-4.932034534039541
2019-07-31,2020-01-31,-17.24629842722458,-9.078105884596555,39.69834937499681,-0.08763037156265652,39,3,10456.779598027857,-10.312599490195629,10600.710935936506,-1.8977397120339634,1.376440390268785,-7.319266805357582,1.3577517468259634
2019-09-30,2020-03-30,-50.95451233918096,-29.836396990881653,60.48357548141819,-0.3914855022261869,37,6,8377.407795372366,-28.783759289692334,8253.582454471303,-26.605168350483677,-1.4780865862763393,-4.4025288535685,-1.500261754021514
2019-11-30,2020-05-30,69.26831309849284,29.93910697645763,60.48357548141819,1.0430681095250036,38,4,7250.637608050493,29.85746647256793,7255.1960344846675,21.405121161396877,0.06286931826668951,7.029345824477695,0.06282981758876709
2020-01-30,2020-07-30,38.554662047167064,17.604128666645956,57.53332807812722,0.8170906551077851,38,4,9433.23147561091,14.943598221447306,9651.576819986834,19.568041977562658,2.314639950693853,-1.6425068759470363,2.2622763974044844
2020-03-30,2020-09-30,115.35454213000848,47.148550296905924,19.928350326650047,1.7989890061252405,40,0,7362.611245669747,55.55476897471543,6964.7338898115095,83.56385969549403,-5.404025047394001,-19.837951467677705,-5.712743116291639
2020-05-30,2020-11-30,268.9873106309258,93.037514707442,19.928350326650058,3.091569500968295,40,1,9414.791230369769,91.29644350252337,9500.479294462304,93.95739024176804,0.9101430079099471,-0.4742668135405581,0.9019341176026976
2020-07-30,2021-01-30,780.0245357138244,198.8697508611829,28.768713756626884,3.3639963547846055,39,2,11453.70134694551,195.2039960020232,11595.929981843947,207.97372120139048,1.2417700670740661,-2.9560867416523195,1.226539269563781
2020-09-30,2021-03-30,2227.701820993191,374.8952525714694,28.7687137566269,4.098025121411884,40,0,12129.177625192484,398.05796826624623,11565.097315581626,432.889099884635,-4.650606389333944,-10.88291115838561,-4.8774367756583725
2020-11-30,2021-05-30,131.82598788573108,51.54390920872227,50.07995074427129,1.3552221748539262,40,0,22821.36384799651,66.21121339998288,20807.49319047061,87.6493091008137,-8.824497391739827,-19.24089146136636,-9.678583763507891
2021-01-30,2021-07-30,-22.397640334165047,-11.798081466775223,54.72246732053977,0.12401892001785411,40,0,45341.95035330806,-9.175685256795296,44032.779355477796,16.76599517081705,-2.887328373899045,-24.462667059708487,-2.973173660606996
2021-03-30,2021-09-30,-46.15634190535872,-26.75129198469285,50.74025266877775,-0.35688491711313164,38,4,56655.42308722724,-27.38347529739483,57148.65259933212,-27.852799672325013,0.8705777580117369,1.5267504250052522,0.8630641137996756
2021-05-30,2021-11-30,164.0872923613471,63.04898240249464,23.13156097005579,1.882868647012842,39,3,35413.642820206005,61.638689976671216,35722.625726757426,70.5507724639244,0.8724968174556258,-4.3985670384557025,0.8649501548817619
2021-07-30,2022-01-30,-30.199548394115016,-16.556140305326238,51.75124636311992,-0.29021470386814974,40,0,45712.099171312344,-14.528196166159802,44627.512448611706,-4.414185394272064,-2.3726469410998208,-12.702674514139234,-2.4303096076653006
