fold_start,fold_end,smart_apr,smart_return,smart_dd,smart_sharpe,smart_trades,smart_2x_buys,smart_cb,dca_return,dca_cb,bh_return,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct
2019-01-31,2019-07-31,581.0166039752357,158.00799589587336,34.40887172331592,3.031720459446708,49,9,3708.5926119365813,161.03057370282005,3665.649329221326,174.89981854276851,-1.157940146271097,-6.14471946050672,-1.1715054785226189
2019-03-31,2019-09-30,79.94885331064603,34.091047094834394,43.26956412115099,1.1755474516885935,67,0,5995.175578213295,59.149669695305505,5051.2160806810225,96.23527033327555,-15.74531863524834,-31.6682231144782,-18.687767113003897
2019-05-31,2019-11-30,-34.396810984806,-19.00420442072688,48.6856670397319,-0.31746754193480176,53,7,9549.923099933598,-14.08235478808406,9002.849383175635,-6.911545417566267,-5.728566722822837,-12.990503556434108,-6.076672989557333
2019-07-31,2020-01-31,-14.971796165604323,-7.830225613486341,39.079804331654664,-0.04702027545186442,50,9,10315.205974282111,-10.312599490195629,10600.710935936506,-1.8977397120339634,2.7678066959226033,-6.047246907500769,2.693262398906948
2019-09-30,2020-03-30,-50.92425880553753,-29.814873878272607,60.48357548141819,-0.3981124065455845,44,12,8374.838762568479,-28.783759289692334,8253.582454471303,-26.605168350483677,-1.4478643892123277,-4.373203746983578,-1.4691354786367508
2019-11-30,2020-05-30,65.86354513437307,28.631896164878622,60.48357548141819,1.0205903704685717,45,11,7324.321602103852,29.85746647256793,7255.1960344846675,21.405121161396877,-0.9437811632865944,5.952611334965363,-0.9527732578227156
2020-01-30,2020-07-30,65.94826509039034,28.642269489761716,50.97899643156306,1.0301969278666163,45,11,8623.813716908135,14.943598221447306,9651.576819986834,19.568041977562658,11.91773311456885,7.589174634056373,10.648654849333745
2020-03-30,2020-09-30,88.99488045890433,37.785439217903985,19.928350326650055,1.6419415546444367,59,4,7862.932232531739,55.55476897471543,6964.7338898115095,83.56385969549403,-11.423198320393347,-24.938689213404995,-12.896377046568508
2020-05-30,2020-11-30,274.9105296306188,94.59240033288062,19.928350326650058,3.1419576503768107,43,12,9339.56258050695,91.29644350252337,9500.479294462304,93.95739024176804,1.7229577142210628,0.32739669796599813,1.6937746924952497
2020-07-30,2021-01-30,832.1107523616604,207.64782788346574,28.768713756626894,3.480023347903638,49,9,11126.894317929862,195.2039960020232,11595.929981843947,207.97372120139048,4.2153331424948925,-0.10581854732716334,4.044830079592289
