regime,bot,final_eq,return_pct,apr_pct,max_dd_pct,sharpe,trades,btc_held,days
bull,atr_breakout,36080.33324179445,260.8033324179445,995.3228527773136,33.365714508108965,3.741946258216222,5,0.5730718326803654,195.66666666666666
bull,trend_fast,36289.6970129393,262.896970129393,1007.20891426729,28.722875726512186,3.919407017847812,139,0.5763972032977264,195.66666666666666
bull,trend_slow,57134.09121352784,471.3409121352784,2481.818385746446,28.768713756626894,4.2604396970945535,7,0.907473280272706,195.66666666666666
bull,donchian_20_10,24264.149896734427,142.64149896734426,422.54121415801285,28.7687137566269,2.657282761096821,11,0.38539280545351,195.66666666666666
bull,buyhold,58325.36552633189,483.2536552633188,2583.143072004474,28.768713756626884,4.297744942591274,1,0.926394551012879,195.66666666666666
bear,atr_breakout,6514.081564904468,-34.85918435095532,-33.96437546846281,38.252548581233526,-1.4932578200010955,10,0.0,377.0
bear,trend_fast,3428.6447218786725,-65.71355278121327,-64.52522514245072,66.51116951510939,-2.5937886847639184,344,0.0,377.0
bear,trend_slow,4906.158799529383,-50.938412004706166,-49.81367788573415,52.079747627112695,-2.35103912220339,88,0.0,377.0
bear,donchian_20_10,6596.0513733025555,-34.03948626697445,-33.16002758785406,37.10076222867068,-1.1974196590242143,12,0.0,377.0
bear,buyhold,2354.114900677375,-76.45885099322625,-75.34968167739382,77.19848663243954,-1.7794652354350664,1,0.14917125917319654,377.0
crab,atr_breakout,12380.80362364815,23.808036236481488,27.684193772570055,20.07807106809141,0.9772887663878141,11,0.4559451731557846,318.9583333333333
crab,trend_fast,10424.074316108461,4.240743161084604,4.867572183871083,35.46833416314807,0.31104784442951244,283,0.3838851268078161,318.9583333333333
crab,trend_slow,14913.790539547399,49.13790539547398,57.995780881566894,15.2887093790127,1.5301750716174876,57,0.5492269336196272,318.9583333333333
crab,donchian_20_10,12394.712042905187,23.94712042905187,27.84835106800212,20.073669770510545,1.0111122977434854,16,0.0,318.9583333333333
crab,buyhold,15813.173932424519,58.1317393242452,68.94582616070379,21.740843715487802,1.4771042187195547,1,0.5823483310073974,318.9583333333333
crash,atr_breakout,9314.828647959564,-6.851713520404356,-43.79923503279342,10.79388650524999,-2.190225735582719,1,1.3561268723280338,44.958333333333336
crash,trend_fast,11155.985624624356,11.55985624624356,143.05208863052007,15.477891343371066,1.6478188649444372,42,0.0,44.958333333333336
crash,trend_slow,10000.0,0.0,0.0,0.0,0.0,0,0.0,44.958333333333336
crash,donchian_20_10,9784.80311500092,-2.151968849990804,-16.189980543229797,9.515498129622037,-0.575832485271862,2,0.0,44.958333333333336
crash,buyhold,8031.330287519378,-19.68669712480622,-83.1342760242703,54.86083336065304,-0.3963255078608891,1,1.1692649682646465,44.958333333333336
holdout,atr_breakout,10454.806577067866,4.548065770678655,2.618735171247466,34.61204635232668,0.23289213949574075,24,0.0,628.0
holdout,trend_fast,6720.558382144943,-32.79441617855058,-20.624543634724557,59.1117533215188,-0.5783770142076755,586,0.0,628.0
holdout,trend_slow,12442.191082401225,24.421910824012237,13.5416042289072,32.02237115196221,0.5734555930764538,193,0.1603054528578978,628.0
holdout,donchian_20_10,16255.449024851712,62.55449024851711,32.62785688547212,24.119355325780887,1.1771890154177393,22,0.0,628.0
holdout,buyhold,13162.896773799423,31.628967737994216,17.31898416236184,50.08379415223316,0.5788279970412666,1,0.16959104021720683,628.0
