regime,top_N,top_p,top_K,top_size,atr_apr_pct,atr_dd_pct,best_cousin_apr_pct,atr_vs_best_cousin_pp,atr_vs_bh_pp,atr_trades
bull,10,14,3.0,1.0,1332.0904179616366,24.71967986989255,2481.818385746446,-1149.7279677848094,-1251.0526540428375,5
bear,40,10,1.5,0.5,-1.9841057050244304,4.319446173700396,-33.16002758785406,31.17592188282963,73.36557597236938,4
crab,20,14,1.5,1.0,59.487403289127805,12.747667450459998,57.995780881566894,1.4916224075609108,-9.458422871575983,12
crash,40,21,3.0,1.0,0.0,0.0,143.05208863052007,-143.05208863052007,83.1342760242703,0
