regime,entry_lookback,atr_period,atr_K,position_size_pct,atr_final_eq,atr_return_pct,atr_apr_pct,atr_dd_pct,atr_sharpe,atr_trades,trend_fast_apr_pct,trend_slow_apr_pct,donchian_apr_pct,donchian_dd_pct,bh_apr_pct,best_cousin_apr_pct,atr_vs_best_cousin_pp,atr_vs_bh_pp,runtime_s
bull,10,10,1.5,0.5,18360.41003450619,83.6041003450619,210.63527332707363,11.806760309101486,3.6288465148528473,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2271.1831124193723,-2372.5077986774004,0.009
bull,10,10,1.5,1.0,30089.000742737764,200.89000742737767,680.6028956201585,19.981437985296772,3.7906217278921,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1801.2154901262875,-1902.5401763843156,0.009
bull,10,10,2.0,0.5,18846.11176426981,88.46111764269808,226.139542619863,11.986426784493345,3.6898117747576515,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2255.678843126583,-2357.0035293846113,0.009
bull,10,10,2.0,1.0,31825.490669207167,218.25490669207167,766.733181455115,20.376774336074245,3.8627581698194864,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1715.0852042913311,-1816.4098905493593,0.009
bull,10,10,3.0,0.5,22927.710026514855,129.27710026514853,370.1355314227802,22.708520729973525,3.406826651965613,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2111.6828543236657,-2213.007540581694,0.009
bull,10,10,3.0,1.0,39755.445896386904,297.554458963869,1212.5772930013934,28.768713756626894,3.7760254714675012,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1269.2410927450526,-1370.5657790030807,0.009
bull,10,14,1.5,0.5,18360.41003450619,83.6041003450619,210.63527332707363,11.806760309101486,3.6288465148528473,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2271.1831124193723,-2372.5077986774004,0.009
bull,10,14,1.5,1.0,30089.000742737764,200.89000742737767,680.6028956201585,19.981437985296772,3.7906217278921,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1801.2154901262875,-1902.5401763843156,0.009
bull,10,14,2.0,0.5,18846.11176426981,88.46111764269808,226.139542619863,11.986426784493345,3.6898117747576515,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2255.678843126583,-2357.0035293846113,0.009
bull,10,14,2.0,1.0,31825.490669207167,218.25490669207167,766.733181455115,20.376774336074245,3.8627581698194864,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1715.0852042913311,-1816.4098905493593,0.009
bull,10,14,3.0,0.5,23740.961816260387,137.4096181626039,401.71960470628204,18.80180027834174,3.790417482561831,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2080.098781040164,-2181.423467298192,0.009
bull,10,14,3.0,1.0,41656.67574180788,316.56675741807874,1332.0904179616366,24.71967986989255,4.071287849713094,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1149.7279677848094,-1251.0526540428375,0.009
bull,10,21,1.5,0.5,17341.997295491994,73.41997295491993,179.26701451639363,10.38694113552889,3.4151596157295776,15,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2302.551371230052,-2403.8760574880803,0.009
bull,10,21,1.5,1.0,27552.393158424584,175.52393158424584,562.3398066764529,19.263379848236404,3.5611018768324114,15,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1919.478579069993,-2020.803265328021,0.009
bull,10,21,2.0,0.5,18515.66321113087,85.15663211130872,215.55306875596455,11.986426784493345,3.567863684195085,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2266.2653169904816,-2367.5900032485097,0.009
bull,10,21,2.0,1.0,30714.546452835806,207.14546452835805,711.1481180928381,20.376774336074245,3.7259793696734533,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1770.6702676536079,-1871.994953911636,0.009
bull,10,21,3.0,0.5,23740.961816260387,137.4096181626039,401.71960470628204,18.80180027834174,3.790417482561831,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2080.098781040164,-2181.423467298192,0.009
bull,10,21,3.0,1.0,41656.67574180788,316.56675741807874,1332.0904179616366,24.71967986989255,4.071287849713094,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1149.7279677848094,-1251.0526540428375,0.01
bull,20,10,1.5,0.5,16094.121736564233,60.94121736564233,142.95214571663587,14.372386801281456,2.982718291064128,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2338.86624002981,-2440.190926287838,0.009
