vs,median_corr,mean_corr,max_corr
trend_fast,0.5183756593172242,0.46573765280491686,0.9203861088017894
trend_slow,0.7279424620254189,0.6060651918571316,1.0
donchian_20_10,0.9270760689552752,0.7207777057563642,1.0
buyhold,0.607240095804843,0.5575246783851732,1.0
